1,2
2,7
3,1
4,15
5,24
6,26
7,25
8,21
9,31
10,23
11,19
12,33
13,26
14,26
15,43
16,29
17,33
18,41
19,47
20,53
21,48
22,54
23,41
24,53
25,63
26,56
27,55
28,61
29,60
30,72
31,75
32,61
33,66
34,73
35,74
36,75
37,70
38,90
39,77
40,86
41,97
42,97
43,83
44,100
45,85
46,90
47,107
48,96
49,101
50,106
51,97
52,115
53,116
54,113
55,108
56,109
57,121
58,118
59,117
60,123
61,129
62,127
63,136
64,142
65,137
66,142
67,135
68,137
69,138
70,140
71,142
72,157
73,147
74,155
75,147
76,152
77,156
78,152
79,160
80,175
81,157
82,166
83,179
84,164
85,177
86,177
87,171
88,179
89,183
90,175
91,185
92,195
93,187
94,185
95,194
96,190
97,200
98,199
99,198
100,196
